Title;Ingenio;URL;Authors;Abstract
A Fitness Function Model for Detecting Ellipses with Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000287375802086;"Ochoa, A; Tejera, M and Soto, M";This paper introduces a novel method for ellipse detection that is based on Estimation of Distribution Algorithms. The main contribution is the construction of a new fitness function model that in contrast to existing methods can assign positive evaluations to ellipses that do not exist in the image. This approach produces much smoother fitness landscapes increasing the efficiency of the search
GA-EDA:: Hybrid evolutionary algorithm using genetic and estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000221714200038;"Peña, JM; Robles, V;  (...); Pérez, MS";Add this journal to your reviewer interest list.  Add Journal|Evolutionary techniques are one of the most successful paradigms in the field of optimization. In this paper we present a new approach, named GAEDA, which is a new hybrid algorithm based on genetic and estimation of distribution algorithms. The original objective is to get benefits from both approaches. In order to perform an evaluation of this new approach a selection of synthetic optimization
Parallel island-based estimation of distribution algorithms for wireless network planning;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000234255900240;"Liu, F; Zeng, YH;  (...); Zhou, HB";Wireless network planning is an important problem to the communication companies. To solve this problem, many models were proposed, which overlooked different profits on the same acreage in different regions. Genetic algorithms (GAs) and similar algorithms were put forward by many papers based on those models. However, those models cannot reflect the companies' aims that make maximum profit wit
Hybrid Estimation of Distribution Algorithms for the Flow Shop Scheduling Problem;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000326235301089;"Pandolfi, D; Villagra, A and Leguizamón, G";Estimation of Distribution Algorithms (EDAs) are stochastic optimization techniques that explore the space of potential solutions by building and sampling explicit probabilistic models of promising candidate solutions. EDAs provide scalable solutions to many problems that are intractable with other techniques, solving enormously complex problems that often need additional efficiency enhancement
MB-GNG: Addressing drawbacks in multi-objective optimization estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000290079000014;"Martí, L; García, J;  (...); Molina, JM";Add this journal to your reviewer interest list.  Add Journal|We examine the model-building issue related to multi-objective estimation of distribution algorithms (MOEDAs) and show that some of their, as yet overlooked, characteristics render most current MOEDAs unviable when addressing optimization problems with many objectives. We propose a novel model-building growing neural gas (MB-GNG) network that is specially devised for properly dealing with that
PolyEDA: Combining estimation of distribution algorithms and linear inequality constraints;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000225101200114;Grahl, J and Rothlauf, F;Add this journal to your reviewer interest list.  Add Journal|Estimation of distribution algorithms (EDAs) are population-based heuristic search methods that use probabilistic models of good solutions to guide their search. When applied to constrained optimization problems, most evolutionary algorithms use special techniques for handling invalid solutions. This paper presents PolyEDA, a new EDA approach that is able to directly consider linear inequality
Estimation of distribution algorithms using Gaussian Bayesian networks to solve industrial optimization problems constrained by environment variables;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000819293200001;"Soloviev, VP; Larrañaga, P and Bielza, C";Add this journal to your reviewer interest list.  Add Journal|Many real-world optimization problems involve two different subsets of variables: decision variables, and those variables which are not present in the cost function but constrain the solutions, and thus, must be considered during optimization. Thus, dependencies between and within both subsets of variables must be considered. In this paper, an estimation of distribution algorithm (EDA) is imple
Fitness approximation in estimation of distribution algorithms for feature selection;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000235836100107;"Chen, HX; Yuan, SM and Kai, JA";Add this journal to your reviewer interest list.  Add Journal|Estimation of distribution algorithms (EDAs) are popular and robust algorithms that combine two technical disciplines of soft computing methodologies, probabilistic reasoning and evolutionary computing, for optimization problems. Several algorithms have already been proposed by different authors. However, these algorithms may require huge computation power, which is seldom considered in those a
On the Model-Building Issue of Multi-Objective Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000267794600035;"Martí, L; García, J;  (...); Molina, JM";Add this journal to your reviewer interest list.  Add Journal|It has been claimed that perhaps a paradigm shift is necessary in order to be able to deal with this scalability issue of multi-objective optimization evolutionary algorithms. Estimation of distribution algorithms are viable candidates for such task because of their adaptation and learning abilities and simplified algorithmics. Nevertheless, Hie extension of EDAs to the multi-objective domain h
Adaptive Estimation of Distribution Algorithms for Low-Thrust Trajectory Optimization;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:001041484700001;Shirazi, A;Add this journal to your reviewer interest list.  Add Journal|A direct adaptive scheme is presented as an alternative approach for minimum-fuel low-thrust trajectory design in non-coplanar orbit transfers using fitness landscape analysis (FLA). The spacecraft dynamics is modeled with respect to modified equinoctial elements by considering J2 orbital perturbations. Taking into account the timings of thrust arcs, the discretization nodes for thrust profile,
Quality Analysis of Discretization Methods for Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000342784200031;Chen, CH and Chen, YP;Add this journal to your reviewer interest list.  Add Journal|Estimation of distribution algorithms (EDAs). since they were introduced, have been successfully used to solve discrete optimization problems and hence proven to be an effective methodology for discrete optimization. To enhance the applicability of EDAs, researchers started to integrate EDAs with discretization methods such that the EDAs designed for discrete variables can be made capable of so
Bivariate empirical and n-variate Archimedean copulas in Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000287375804104;"Cuesta-Infante, A; Santana, R;  (...); Larrañaga, P";This paper investigates the use of empirical and Archimedean copulas as probabilistic models of continuous estimation of distribution algorithms (EDAs). A method for learning and sampling empirical bivariate copulas to be used in the context of n-dimensional EDAs is first introduced. Then, by using Archimedean copulas instead of empirical makes possible to construct n-dimensional copulas with t
Combining Bayesian classifiers and estimation of distribution algorithms for optimization in continuous domains;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000251710700003;"Miquélez, T; Bengoetxea, E;  (...); Larrañaga, P";Add this journal to your reviewer interest list.  Add Journal|This paper introduces a evolutionary computation method that applies Bayesian classifiers to optimization problems. This approach is based on Estimation of Distribution Algorithms (EDAs) in which Bayesian or Gaussian networks are applied to the evolution of a population of individuals (i.e. potential solutions to the optimization problem) in order to improve the quality of the individuals of th
Scaling Up Estimation of Distribution Algorithms for Continuous Optimization;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000327970300005;"Dong, WS; Chen, TS;  (...); Yao, X";Add this journal to your reviewer interest list.  Add Journal|Since estimation of distribution algorithms (EDAs) were proposed, many attempts have been made to improve EDAs' performance in the context of global optimization. So far, the studies or applications of multivariate probabilistic model-based EDAs in continuous domain are still mostly restricted to low-dimensional problems. Traditional EDAs have difficulties in solving higher dimensional problems
Estimation of distribution algorithms for nuclear reactor fuel management optimisation;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000241260700009;"Jiang, S; Ziver, AK;  (...); Phillips, HJ";Add this journal to your reviewer interest list.  Add Journal|In this paper, estimation of distribution algorithms (EDAs) are used to solve nuclear reactor fuel management optimisation (NRFMO) problems. Similar to typical population based optimisation algorithms, e.g. genetic algorithms (GAs), EDAs maintain a population of solutions and evolve them during the optimisation process. Unlike GAs, new solutions are suggested by sampling the distribution estima
Application of Estimation of Distribution Algorithms for Solving Order Acceptance with Weighted Tardiness Problems;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000395631500309;"Wattanapornprom, W; Li, T;  (...); Chongstitvatana, P";Over the past decade the strategic importance of order acceptance has been widely recognized in practice. This research studies the adaptation of estimation of distribution algorithm to solve the order acceptance decisions when capacity is limited. The results show that the four new estimation of distribution algorithms are all better than the genetic algorithm with local search.
Effective search for genetic-based machine learning systems via estimation of distribution algorithms and embedded feature reduction techniques;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000319952700011;"Yang, JD; Xu, H and Jia, PF";Add this journal to your reviewer interest list.  Add Journal|Genetic-based machine learning (GBML) systems, which employ evolutionary algorithms (EAs) as search mechanisms, evolve rule-based classification models to represent target concepts. Compared to Michigan-style GBML, Pittsburgh-style GBML is expected to achieve more compact solutions. It has been shown that standard recombination operators in EAs do not assure an effective evolutionary search to
Multiple-deme parallel estimation of distribution algorithms: Basic framework and application;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000221559200071;"Ahn, CW; Goldberg, DE and Ramakrishna, RS";Add this journal to your reviewer interest list.  Add Journal|This paper presents a basic framework that facilitates the development of new multiple-deme parallel estimation of distribution algorithms (PEDAs). The aim is to carry over the migration effect that arises in multiple-deme parallel genetic algorithms (PGAs) into probability distribution of EDAs. The idea is to employ two kinds of probability vector (PV): one each for resident and immigrant cand
Harmless Overfitting: Using Denoising Autoencoders in Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000542194600001;Probst, M and Rothlauf, F;Add this journal to your reviewer interest list.  Add Journal|Estimation of Distribution Algorithms (EDAs) are metaheuristics where learning a model and sampling new solutions replaces the variation operators recombination and mutation used in standard Genetic Algorithms. The choice of these models as well as the corresponding training processes are subject to the bias/variance tradeoff, also known as under- and overfitting: simple models cannot capture c
Estimation of distribution algorithms for well placement optimization in petroleum fields;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:001381403800001;"Brum, A; Coelho, G;  (...); Schiozer, DJ";Add this journal to your reviewer interest list.  Add Journal|Optimizing well placement is one of the primary challenges in oil field development. The number and positions of wells must be carefully considered, as it is directly related to the infrastructure cost and the profits over the field's life cycle. In this paper, we propose three estimation of distribution algorithms to optimize well placement with the objective of maximizing the net present valu
Copula selection for graphical models in continuous Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000336813100015;"Salinas-Gutiérrez, R; Hernández-Aguirre, A and Villa-Diharce, ER";Add this journal to your reviewer interest list.  Add Journal|This paper presents the use of graphical models and copula functions in Estimation of Distribution Algorithms (EDAs) for solving multivariate optimization problems. It is shown in this work how the incorporation of copula functions and graphical models for modeling the dependencies among variables provides some theoretical advantages over traditional EDAs. By means of copula functions and two w
Multisource Heterogeneous User-Generated Contents-Driven Interactive Estimation of Distribution Algorithms for Personalized Search;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000862385200007;"Bao, L; Sun, XY;  (...); Zhang, Y";Add this journal to your reviewer interest list.  Add Journal|Personalized search is essentially a complex qualitative optimization problem, and interactive evolutionary algorithms (EAs) have been extended from EAs to adapt to solving it. However, the multisource user-generated contents (UGCs) in the personalized services have not been concerned on in the adaptation. Accordingly, we here present an enhanced restricted Boltzmann machine (RBM)-driven intera
Protein folding in simplified models with estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000258373500002;"Santana, R; Larranaga, P and Lozano, JA";Add this journal to your reviewer interest list.  Add Journal|Simplified lattice models have played an important role in protein structure prediction and protein folding problems. These models can be useful for an initial approximation of the protein structure, and for the investigation of the dynamics that govern the protein folding process. Estimation of distribution algorithms (EDAs) are efficient evolutionary algorithms that can learn and exploit the
The Optimization of Fuzzy Rules Based on Hybrid Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000395422500112;Luo, X and Bai, X;Optimization of fuzzy rules based on numerical data is an important issue in the optimization design of fuzzy system. In this paper, based on an improved estimation of distribution algorithm, an optimization learning method COR_MUMDA for fuzzy rules is proposed. This method can generate fuzzy rules directly from numerical data. The method learn fuzzy rules mainly based on MUMDA (multi-group uni
On the performance of estimation of distribution algorithms applied to software testing;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000228668800002;Sagarna, R and Lozano, JA;Add this journal to your reviewer interest list.  Add Journal|One of the most important issues in software testing is the generation of the input cases used during the test. Due to the expensive cost of this task., its automation has become a key aspect. An alternative to obtain this is evolutionary testing. The aim of evolutionary testing is the creation Of test data by means of combinatorial optimization search methods.|A heuristic approach to the
Theoretical and empirical investigations on difficulty in structure learning by estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000248078500036;"Tsuji, M; Munetomo, M and Akama, K";Estimation of distribution algorithms (EDAs) are population based evolutionary algorithms derived from genetic algorithms (GAs). EDAs build probabilistic models of promising solutions to guide further exploration of the search space. They have been considered to behave in similar way to GAs. In this paper, we show their different behaviors and difficulties in applications of EDAs by designing a
copulaedas: An R Package for Estimation of Distribution Algorithms Based on Copulas;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000341642300001;Gonzalez-Fernandez, Y and Soto, M;Add this journal to your reviewer interest list.  Add Journal|The use of copula-based models in EDAs (estimation of distribution algorithms) is currently an active area of research. In this context, the copulaedas package for R provides a platform where EDAs based on copulas can be implemented and studied. The package offers complete implementations of various EDAs based on copulas and vines, a group of well-known optimization problems, and utility functi
Unified eigen analysis on multivariate Gaussian based estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000257404100003;Dong, WS and Yao, X;Add this journal to your reviewer interest list.  Add Journal|Multivariate Gaussian models are widely adopted in continuous estimation of distribution algorithms (EDAs), and covariance matrix plays the essential role in guiding the evolution. In this paper, we propose a new framework for multivariate Gaussian based EDAs (MGEDAs), named eigen decomposition EDA (ED-EDA). Unlike classical EDAs, ED-EDA focuses on eigen analysis of the covariance matrix, and i
DICE: A New Family of Bivariate Estimation of Distribution Algorithms Based on Dichotomised Multivariate Gaussian Distributions;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000418860400043;"Lane, F; Azad, RMA and Ryan, C";Add this journal to your reviewer interest list.  Add Journal|A new family of Estimation of Distribution Algorithms (EDAs) for discrete search spaces is presented. The proposed algorithms, which we label DICE (Discrete Correlated Estimation of distribution algorithms) are based, like previous bivariate EDAs such as MIMIC and BMDA, on bivariate marginal distribution models. However, bivariate models previously used in similar discrete EDAs were only able t
Pairwise independence and its impact on Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000373548400004;Martins, JP and Delbem, ACB;Add this journal to your reviewer interest list.  Add Journal|Estimation of Distribution Algorithms (EDAs) were proposed as an alternative for traditional evolutionary algorithms in which reproduction operators could rely on information extracted from the population to enable a more effective search. Since information is usually represented as a probabilistic graphic model, the effectiveness of EDAs strongly depends on how accurately such models represent
Multiobjective Estimation of Distribution Algorithms Using Multivariate Archimedean Copulas and Average Ranking;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000349457000056;"Gao, Y; Peng, LX;  (...); Hu, X";Estimation of distribution algorithms (EDAs) are a class of evolutionary optimization algorithms based on probability distribution model. This chapter extends the basic EDAs for tackling multiobjective optimization problems by incorporating multivariate Archimedean copulas for constructing probability distribution model, and using the concept of average ranking. In the algorithm, Archimedean co
Optimal Sensor Location in Chemical Plants Using the Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000444793100016;"Carnero, M; Hernández, JL and Sánchez, M";Add this journal to your reviewer interest list.  Add Journal|The optimal selection of sensor structures improves the knowledge of the current plant state, which is a central issue for the decision making process. Instrumentation design is a challenging optimization problem that involves a huge amount of binary variables that represent the possible sensor locations. In this work, the limitations of the current design strategies are discussed, and they sup
Estimation of Distribution Algorithms for the Multi-Mode Resource Constrained Project Scheduling Problem;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000426929700204;"Ayodele, M; McCall, J and Regnier-Coudert, O";"Multi-Mode Resource Constrained Project Problem (MRCPSP) is a multi-component problem which combines two interacting sub-problems; activity scheduling and mode assignment. Multi-component problems have been of research interest to the evolutionary computation community as they are more complex to solve.|Estimation of Distribution Algorithms (EDAs) generate solutions by sampling a probabil"
Effects of Discrete Hill Climbing on Model Building for Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000321981300047;"Chen, WM; Hsu, CY;  (...); Chien, WC";Hybridization of global and local searches is a well-known technique for optimization algorithms. Hill climbing is one of the local search methods. On estimation of distribution algorithms (EDAs), hill climbing strengthens the signals of dependencies on correlated variables and improves the quality of model building, which reduces the required population size and convergence time. However, hill
Keep it unbiased: a comparison between estimation of distribution algorithms and deep learning for human interaction-free side-channel analysis;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:001125951300001;"Rioja, U; Batina, L;  (...); Flores, JL";Add this journal to your reviewer interest list.  Add Journal|Evaluating side-channel analysis (SCA) security is a complex process, involving applying several techniques whose success depends on human engineering. Therefore, it is crucial to avoid a false sense of confidence provided by non-optimal (failing) attacks. Different alternatives have emerged lately trying to mitigate human dependency, among which deep learning (DL) attacks are the most studied
EDA-PSO: A Hybrid Paradigm Combining Estimation of Distribution Algorithms and Particle Swarm Optimization;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000285802500039;Bengoetxea, E and Larrañaga, P;Add this journal to your reviewer interest list.  Add Journal|Estimation of Distribution Algorithms (EDAs) is an evolutionary computation optimization paradigm that relies the evolution of each generation on calculating a probabilistic graphical model able to reflect dependencies among variables out of the selected individuals of the population. This showed to be able to improve results with GAs for complex problems.|This paper presents a new hybrid
Parallel Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000298161200011;"Madera, J; Alba, E and Ochoa, A";
Distributed Estimation of Distribution Algorithms for continuous optimization: How does the exchanged information influence their behavior?;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000335110700017;"Muelas, S; Mendiburu, A;  (...); Peña, JM";Add this journal to your reviewer interest list.  Add Journal|One of the most promising areas in which probabilistic graphical models have shown an incipient activity is the field of heuristic optimization and, in particular, in Estimation of Distribution Algorithms. Due to their inherent parallelism, different research lines have been studied trying to improve Estimation of Distribution Algorithms from the point of view of execution time and/or accuracy.
On the Choice of the Update Strength in Estimation-of-Distribution Algorithms and Ant Colony Optimization;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000465431800006;Sudholt, D and Witt, C;Add this journal to your reviewer interest list.  Add Journal|Probabilistic model-building Genetic Algorithms (PMBGAs) are a class of metaheuristics that evolve probability distributions favoring optimal solutions in the underlying search space by repeatedly sampling from the distribution and updating it according to promising samples. We provide a rigorous runtime analysis concerning the update strength, a vital parameter in PMBGAs such as the step size1
A roadmap for solving optimization problems with estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000850379900001;"Ceberio, J; Mendiburu, A and Lozano, JA";Add this journal to your reviewer interest list.  Add Journal|In recent decades, Estimation of Distribution Algorithms (EDAs) have gained much popularity in the evolutionary computation community for solving optimization problems. Characterized by the use of probabilistic models to represent the solutions and the interactions between the variables of the problem, EDAs can be applied to either discrete, continuous or mixed domain problems. Due to this robu
Estimation of distribution algorithms with solution subset selection for the next release problem;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:001222909600001;"Pérez-Piqueras, V; López, PB and Gámez, JA";Add this journal to your reviewer interest list.  Add Journal|The Next Release Problem (NRP) is a combinatorial optimization problem that aims to find a subset of software requirements to be delivered in the next software release, which maximize the satisfaction of a list of clients and minimize the effort required by developers to implement them. Previous studies have applied various metaheuristics, mostly genetic algorithms. Estimation of Distribution A
Auto-tune POIs: Estimation of distribution algorithms for efficient side-channel analysis;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000696956800008;"Rioja, U; Batina, L;  (...); Armendariz, I";Add this journal to your reviewer interest list.  Add Journal|Due to the constant increase and versatility of IoT devices that should keep sensitive information private, Side-channel Analysis (SCA) attacks on embedded devices are gaining visibility in the industrial field. The integration and validation of countermeasures against SCA can be an expensive and cumbersome process, especially for the less experienced ones. Additionally, current certification p
The structure of evolutionary exploration: On crossover, buildings blocks, and estimation-of-distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000185074300017;Toussaint, M;Add this journal to your reviewer interest list.  Add Journal|Correlations between alleles after selection are an important source of information. Such correlations should be exploited for further search and thereby constitute the building blocks of evolutionary exploration. With this background we analyze the structure of the offspring probability distribution, or exploration distribution, for a simple GA with mutation only and a crossover GA and Compare
Applications of Model Reuse When Using Estimation of Distribution Algorithms to Test Concurrent Software;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000306979300012;Staunton, J and Clark, JA;Add this journal to your reviewer interest list.  Add Journal|Previous work has shown the efficacy of using Estimation of Distribution Algorithms (EDAs) to detect faults in concurrent software/systems. A promising feature of EDAs is the ability to analyse the information or model learned from any particular execution. The analysis performed can yield insights into the target problem allowing practitioners to adjust parameters of the algorithm or indeed th
Environment identification-based memory scheme for estimation of distribution algorithms in dynamic environments;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000287593200009;"Peng, XG; Gao, XG and Yang, SX";Add this journal to your reviewer interest list.  Add Journal|In estimation of distribution algorithms (EDAs), the joint probability distribution of high-performance solutions is presented by a probability model. This means that the priority search areas of the solution space are characterized by the probability model. From this point of view, an environment identification-based memory management scheme (EI-MMS) is proposed to adapt binary-coded EDAs to s
A Copula-Based Estimation of Distribution Algorithms for Coverage Problem of Wireless Sensor Network;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000316654000042;"Wang, XP; Gao, HM and Zeng, JC";Add this journal to your reviewer interest list.  Add Journal|One fundamental issue in wireless sensor network is the coverage problem, which reflects how well a sensor network is monitored or tracked by sensors. In this paper, a new copula-based estimation of distribution algorithms (EDAs), Scopula-EDAs, is introduced to solve this problem. Although applying copula theory to EDAs is a rising and promising research issue, how to choose the right copula be
Large-Scale Estimation of Distribution Algorithms with Adaptive Heavy Tailed Random Projection Ensembles;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000511331700006;Sanyang, ML and Kabán, A;Add this journal to your reviewer interest list.  Add Journal|We present new variants of Estimation of Distribution Algorithms (EDA) for large-scale continuous optimisation that extend and enhance a recently proposed random projection (RP) ensemble based approach. The main novelty here is to depart from the theory of RPs that require (sub-)Gaussian random matrices for norm-preservation, and instead for the purposes of high-dimensional search we propose to
Theory of Estimation-of-Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000538328100231;Witt, C;
Time series forecasting by evolving artificial neural networks using genetic algorithms and estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000287421403060;"Peralta, J; Gutierrez, G and Sanchis, A";Accurate time series forecasting are important for displaying the manner in which the past continues to affect the future and for planning our day to-day activities. In recent years, a large literature has evolved on the use of evolving artificial neural networks (EANNs) in many forecasting applications. Evolving neural networks are particularly appealing because of their ability to model an un
Adaptation of a Success Story in GAs: Estimation-of-Distribution Algorithms for Tree-based Optimization Problems;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000275055100001;Bosman, PAN and de Jong, ED;Fundamental research into Genetic Algorithms (GA) has led to one of the biggest successes in the design of stochastic optimization algorithms: Estimation-of-Distribution Algorithms (EDAs). These principled algorithms identify and exploit structural features of a problems structure during optimization. EDA design has so far been limited to classical solution representations such as binary string
Software Metrics Mining to Predict the Performance of Estimation of Distribution Algorithms in Test Data Generation;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000271802600015;Sagarna, R and Lozano, JA;Test data generation for a software system is a difficult and costly task. Thus, given a program, it would be highly desirable to choose the most adequate approach. A first step towards this is the prediction of the performance of a test data generator. We conduct a preliminary study on the suitability of software metrics for this problem in the context of a generator based on Estimation of Dis
The role of a priori information in the minimization of contact potentials by means of estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000246102100024;"Santana, R; Larrañaga, P and Lozano, JA";Add this journal to your reviewer interest list.  Add Journal|Directed search methods and probabilistic approaches have been used as two alternative ways for computational protein design. This paper presents a hybrid methodology that combines features from both approaches. Three estimation of distribution algorithms are applied to the solution of a protein design problem by minimization of contact potentials. The combination of probabilistic models able t
FAULT DIAGNOSIS OF MULTIPROCESSOR SYSTEMS BASED ON GENETIC AND ESTIMATION OF DISTRIBUTION ALGORITHMS: A PERFORMANCE EVALUATION;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000274974000001;"Duarte, EP; Pozo, ATR and Nassu, BT";Add this journal to your reviewer interest list.  Add Journal|As faults are unavoidable in large scale multiprocessor systems, it is important to be able to determine which units of the system are working and which are faulty. System level diagnosisis along-standing realistic approach to detect faults in multiprocessor systems. Diagnosis is based on the results of tests executed on the system units. In this work we evaluate the performance of evolutionary
Combining variable neighborhood search and estimation of distribution algorithms in the protein side chain placement problem;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000259142300007;"Santana, R; Larrañaga, P and Lozano, JA";Add this journal to your reviewer interest list.  Add Journal|The aim of this work is to introduce several proposals for combining two metaheuristics: variable neighborhood search (VNS) and estimation of distribution algorithms (EDAs). Although each of these metaheuristics has been previously hybridized in several ways, this paper constitutes the first attempt to combine both optimization methods.|The different ways of combining VNS and EDAs will be
Peakbin Selection in Mass Spectrometry Data Using a Consensus Approach with Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000288225000015;"Armañanzas, R; Saeys, Y;  (...); Larrañaga, P";Add this journal to your reviewer interest list.  Add Journal|Progress is continuously being made in the quest for stable biomarkers linked to complex diseases. Mass spectrometers are one of the devices for tackling this problem. The data profiles they produce are noisy and unstable. In these profiles, biomarkers are detected as signal regions (peaks), where control and disease samples behave differently. Mass spectrometry (MS) data generally contain a li
Using Copulas in Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000278966100058;"Salinas-Gutiérrez, R; Hernández-Aguirre, A and Villa-Diharce, ER";"Add this journal to your reviewer interest list.  Add Journal|A new way of modeling probabilistic dependencies in Estimation of Distribution Algorithm (EDAs) is presented. By means of copulas it is possible to separate the structure of dependence from marginal distributions in a joint distribution. The use of copulas as a mechanism for modeling joint; distributions and its application to EDAs is illustrated on several benchmark examples."
Robust estimation of distribution algorithms via fitness landscape analysis for optimal low-thrust orbital maneuvers;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:001144198200001;Shirazi, A;Add this journal to your reviewer interest list.  Add Journal|One particular kind of evolutionary algorithms known as Estimation of Distribution Algorithms (EDAs) has gained the attention of the aerospace industry for its ability to solve nonlinear and complicated problems, particularly in the optimization of space trajectories during on-orbit operations of satellites. This article describes an effective method for optimizing the trajectory of a spacecraf
Genetic Network Programming with Estimation of Distribution Algorithms for Class Association rule Mining in Traffic Prediction;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000287375804004;"Li, XN; Mabu, S;  (...); Hirasawa, K";As an extension of Genetic Algorithm (GA) and Genetic Programming (GP), a new approach named Genetic Network Programming (GNP) has been proposed in the evolutionary computation field. GNP uses multiple reusable nodes to construct directed-graph structures to represent its solutions. Recently, many research has clarified that GNP can work well in data mining area. In this paper, a novel evolutio
How to Get More from Your Model: The Role of Constructive Selection in Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000625865500051;Caldwell, JR and Watson, RA;Model-building optimisation methods aim to learn the structure underlying a problem and exploit this to direct the exploration of solutions. This generally interleaves two processes: Generating samples (from the model), and updating the model (using selected samples). In most estimation of distribution algorithms (EDAs), e.g. BOA, selection is used only in the laSer, to determine which samples
