year,paper_name
2012,An Estimation of Distribution Algorithm with Efficient Constructive RepairImprovement Operator for the Dynamic Weapon-Target Assignment
2012,"Parameter estimation of industrial PET reactor using multi-objective kernel density estimation of distribution algorithm. Asia-Pacific Journal of Chemical Engineering, 7(5), 783–794"
2012,"A regularity model-based multiobjective estimation of distribution algorithm with reducing redundant cluster operator. Applied Soft Computing, 12(11), 3526–3538"
2012,Modified Bayesian optimization algorithm for EMC complex system design. 2012 Asia-Pacific Symposium on Electromagnetic Compatibility
2012,"Computational intelligence-based energy management for a large-scale PHEV PEV enabled municipal parking deck. Applied Energy, 96, 171–182"
2012,Asynchronous Strategy of Parallel Hybrid Approach of GA and EDA for Function Optimization. 2012 Third International Conference on Networking and Computing
2012,Improved compact genetic algorithm for EM complex system design. 2012 Fourth International Conference on Communications and Electronics (ICCE)
2012,"Global search algorithms using a combinatorial unranking-based problem representation for the critical node detection problem. Computers & Operations Research, 39(11), 2763–2775"
2012,"An estimation of distribution algorithm for lot-streaming flow shop problems with setup times. Omega, 40(2), 166–180"
2012,A compact estimation of distribution algorithm for solving hybrid flow-shop scheduling problem. Proceedings of the 10th World Congress on Intelligent Control and Automation
2012,A Hybrid Estimation of Distribution Algorithm with Decomposition for Solving the Multiobjective Multiple Traveling Salesman Problem
2012,"A novel modified binary differential evolution algorithm and its applications. Neurocomputing, 98, 55–75"
2012,Variable Screening for Reduced Dependency Modelling in Gaussian-based Continuous Estimation of Distribution Algorithms
2012,"Performance Evaluation of an EDA-Based Large-Scale Plug-In Hybrid Electric Vehicle Charging Algorithm. IEEE Transactions on Smart Grid, 3(1), 308–315"
2012,"A bi-population based estimation of distribution algorithm for the flexible job-shop scheduling problem. Computers & Industrial Engineering, 62(4), 917–926"
2012,"Learnable tabu search guided by estimation of distribution for maximum diversity problems. Soft Computing, 16(4), 711–728"
2012,Intelligent PHEV charging and discharging strategy in smart grid. 2012 IEEE Fifth International Conference on Advanced Computational Intelligence (ICACI)
2012,Genetic & Evolutionary Biometrics  Hybrid feature selection and weighting for a multi-modal biometric system. 2012 Proceedings of IEEE Southeastcon
2012,A hybrid adaptive evolutionary algorithm in the domination-based and decomposition-based frameworks of multi-objective optimization. 2012 IEEE Congress on Evolutionary Computation
2013,"Hybrid Estimation of Distribution Algorithm for the Quay Crane Scheduling Problem. Applied Soft Computing, 13(10), 4063–4076"
2013,Critical Issues in Model-Based Surrogate Functions in Estimation of Distribution Algorithms
2013,"Improving the performance of the BioHEL learning classifier system. Expert Systems with Applications, 40(15), 6019–6032"
2013,"Efficient Sampling in Fragment-Based Protein Structure Prediction Using an Estimation of Distribution Algorithm. PLoS ONE, 8(7), e68954"
2013,Structure Learning of Bayesian Networks by Estimation of Distribution Algorithms with Transpose Mutation
2013,Effect of model complexity for estimation of distribution algorithm in NK landscapes. 2013 IEEE Symposium on Foundations of Computational Intelligence (FOCI)
2013,An Estimation of Distribution Algorithm for Steiner Tree Problem
2013,"An Estimation of Distribution Algorithm for the 3D Bin Packing Problem with Various Bin Sizes. Lecture Notes in Computer Science, 401–408"
2013,"EDA with Switching Distributions for Long-Short Portfolio Replication Problems. 2013 IEEE International Conference on Systems, Man, and Cybernetics"
2013,Unveiling relevant non-motor Parkinson's disease severity symptoms using a machine learning approach
2013,Message Passing Methods for Estimation of Distribution Algorithms Based on Markov Networks
2013,A hybrid Quantum Estimation of Distribution Algorithm (Q-EDA) for Flow-Shop Scheduling. 2013 Ninth International Conference on Natural Computation (ICNC)
2013,"An effective estimation of distribution algorithm for the flexible job-shop scheduling problem with fuzzy processing time. International Journal of Production Research, 51(12), 3778–3793"
2013,"Hybrid Estimation of Distribution Algorithm for solving Single Row Facility Layout Problem. Computers & Industrial Engineering, 66(1), 95–103"
2013,"An Energy-Based Sampling Technique for Multi-Objective Restricted Boltzmann Machine. IEEE Transactions on Evolutionary Computation, 17(6), 767–785"
2013,"Estimation of Distribution Algorithm for Resource Allocation in Green Cooperative Cognitive Radio Sensor Networks. Sensors, 13(4), 4884–4905"
2013,"Multi-objective optimization with an adaptive resonance theory-based estimation of distribution algorithm. Annals of Mathematics and Artificial Intelligence, 68(4), 247–273"
2013,"An Intelligent Multi-Restart Memetic Algorithm for Box Constrained Global Optimisation. Evolutionary Computation, 21(1), 107–147"
2013,Negative Correlation Learning in the Estimation of Distribution Algorithms for Combinatorial Optimization
2013,Classification Scheme of Multi-objective Estimation of Distribution Algorithms
2013,An Estimation of Distribution Algorithm for Solving Hybrid Flow-shop Scheduling Problem with Stochastic Processing Time
2013,"Scaling Up Estimation of Distribution Algorithms for Continuous Optimization. IEEE Transactions on Evolutionary Computation, 17(6), 797–822"
2013,"An Novel Estimation of Distribution Algorithm for TSP. Applied Mechanics and Materials, 373-375, 1089–1092"
2013,"Regularized continuous estimation of distribution algorithms. Applied Soft Computing, 13(5), 2412–2432"
2013,Novel Particle Swarm Optimization for unconstrained problems. 2013 25th Chinese Control and Decision Conference (CCDC)
2013,Model-based template-recombination in Markov network estimation of distribution algorithms for problems with discrete representation
2014,MAX-SAT problem using evolutionary algorithms. 2014 IEEE Symposium on Swarm Intelligence
2014,"Multiobjective Estimation of Distribution Algorithm Based on Joint Modeling of Objectives and Variables. IEEE Transactions on Evolutionary Computation, 18(4), 519–542"
2014,A Hybrid Competent Multi-swarm Approach for Many-Objective Problems. 2014 Brazilian Conference on Intelligent Systems
2014,A modified RBM-based estimation of distribution algorithm for steelmaking-continuous casting scheduling. Proceeding of the 11th World Congress on Intelligent Control and Automation
2014,Research of Batch Scheduling with Arrival Time Based on Estimation of Distribution Algorithm. 2014 Seventh International Symposium on Computational Intelligence and Design
2014,Mathematical modeling and EDA-based network planning for broadband power line communication access systems. 18th IEEE International Symposium on Power Line Communications and Its Applications
2014,A novel population-based multi-objective CMA-ES and the impact of different constraint handling techniques. Proceedings of the 2014 Conference on Genetic and Evolutionary Computation - GECCO  ’14
2014,An implicitly parallel EDA based on restricted boltzmann machines. Proceedings of the 2014 Conference on Genetic and Evolutionary Computation - GECCO  ’14
2014,Dynamic Optimization of Chemical Engineering Problems Using Affinity Propagation Based Estimation of Distribution Algorithm
2014,A New EDA by a Gradient-Driven Density
2014,Using estimation of distribution algorithm to coordinate decentralized learning automata for meta-task scheduling. 2014 IEEE Congress on Evolutionary Computation (CEC)
2014,"Estimation of distribution algorithm for a class of nonlinear bilevel programming problems. Information Sciences, 256, 184–196"
2014,A Bayesian Statistical Inference-Based Estimation of Distribution Algorithm for the Re-entrant Job-Shop Scheduling Problem with Sequence-Dependent Setup Times
2014,"Solving system-level synthesis problem by a multi-objective estimation of distribution algorithm. Expert Systems with Applications, 41(5), 2496–2513"
2014,ASYNCHRONOUS PARALLEL ALGORITHMS FOR STRATEGIC HYBRID SEARCHING BASED ON A MIXTURE GAUSSIAN MODEL
2014,Customized Selection in Estimation of Distribution Algorithms
2014,"A Distance-Based Ranking Model Estimation of Distribution Algorithm for the Flowshop Scheduling Problem. IEEE Transactions on Evolutionary Computation, 18(2), 286–300"
2014,"A Fast Elitism Gaussian Estimation of Distribution Algorithm and Application for PID Optimization. The Scientific World Journal, 2014, 1–14"
2014,An Analysis of the Local Optima Storage Capacity of Hopfield Network Based Fitness Function Models
2014,Multivariate Gaussian copula in Estimation of Distribution Algorithm with model migration. 2014 IEEE Symposium on Foundations of Computational Intelligence (FOCI)
2014,An online method for the real-time aircraft arrival sequencing and scheduling problem. Proceeding of the 11th World Congress on Intelligent Control and Automation
2014,Overtime capacity expansion in order acceptance with node based estimation of distribution algorithms. 2014 IEEE International Conference on Industrial Engineering and Engineering Management
2014,"A Novel Graph-Based Estimation of the Distribution Algorithm and its Extension Using Reinforcement Learning. IEEE Transactions on Evolutionary Computation, 18(1), 98–113"
2014,Solving TSP Problems with Hybrid Estimation of Distribution Algorithms
2014,Master-Slave Asynchronous Evolutionary Hybrid Algorithm and ITS Application in VANETs Routing Optimization. 2014 IIAI 3rd International Conference on Advanced Applied Informatics
2014,copulaedas An R Package for Estimation of Distribution Algorithms Based on Copulas
2014,Inferring and Exploiting Problem Structure with Schema Grammar
2014,Creating stock trading rules using graph-based estimation of distribution algorithm. 2014 IEEE Congress on Evolutionary Computation (CEC)
2014,"Improved estimation of distribution algorithm for the problem of single-machine scheduling with deteriorating jobs and different due dates. Computational and Applied Mathematics, 33(3), 557–573"
2014,"An Estimation of Distribution Algorithm for Energy-Aware Steelmaking Continuous Casting Scheduling. Applied Mechanics and Materials, 441, 1077–1080"
2014,An EDA-based Community Detection in Complex Networks
2014,Evolution Strategies with an RBM-Based Meta-Model
2014,"An improved NSGA-II algorithm for multi-objective lot-streaming flow shop scheduling problem. International Journal of Production Research, 52(8), 2211–2231"
2014,"Distributed Estimation of Distribution Algorithms for continuous optimization  How does the exchanged information influence their behavior  Information Sciences, 268, 231–254"
2014,"A guided Hopfield evolutionary algorithm with local search for maximum clique problem. 2014 IEEE International Conference on Systems, Man, and Cybernetics (SMC)"
2014,Software reliability prediction model based on support vector regression with improved estimation of distribution algorithms
2014,"The cooperative estimation of distribution algorithm  a novel approach for semiconductor final test scheduling problems. Journal of Intelligent Manufacturing, 25(5), 867–879"
2014,"USV course controller optimization based on elitism estimation of distribution algorithm. Proceedings of 2014 IEEE Chinese Guidance, Navigation and Control Conference"
2014,Estimation of distribution algorithm using factor graph and Markov blanket canonical factorization. Proceedings of the 2014 Conference on Genetic and Evolutionary Computation - GECCO  ’14
2014,Estimation of Distribution Algorithm using Variety of Information
2014,"A general framework for evolutionary multiobjective optimization via manifold learning. Neurocomputing, 146, 65–74"
2014,"Quality Analysis of Discretization Methods for Estimation of Distribution Algorithms. IEICE Transactions on Information and Systems, E97.D(5), 1312–1323"
2014,A Modified Screening Estimation of Distribution Algorithm for Large-Scale Continuous Optimization
2014,An estimation of distribution algorithm (EDA) variant with QGA for Flowshop scheduling problem. Sixth International Conference on Digital Image Processing (ICDIP 2014)
2014,Evolutionary Synthesis of Cube Root Computational Circuit Using Graph Hybrid Estimation of Distribution Algorithm
2014,"An estimation of distribution algorithm for hybrid flow shop scheduling under stochastic processing times. International Journal of Production Research, 52(24), 7360–7376"
2014,"Application of estimation of distribution algorithm in HW SW partition. 2014 IEEE International Conference on Signal Processing, Communications and Computing (ICSPCC)"
2014,"Improved RM-MEDA with local learning. Soft Computing, 18(7), 1383–1397"
2014,"An Enhanced Estimation of Distribution Algorithm for No-Wait Job Shop Scheduling Problem with Makespan Criterion. Lecture Notes in Computer Science, 675–685"
2014,"A block based estimation of distribution algorithm using bivariate model for scheduling problems. Soft Computing, 18(6), 1177–1188"
2014,PSO-Based Community Detection in Complex Networks. 2009 Second International Symposium on Knowledge Acquisition and Modeling
2014,Hybrid Self-organizing Migrating Algorithm Based on Estimation of Distribution
2014,Design and Optimization of Heat-Integrated Distillation Column Schemes through a New Robust Methodology Coupled with a Boltzmann-Based Estimation of Distribution Algorithm
2014,An Effective Estimation of Distribution Algorithm for Multi-track Train Scheduling Problem
2014,"Generalized decomposition and cross entropy methods for many-objective optimization. Information Sciences, 282, 363–387"
2014,"Integration of evolutionary computing and reinforcement learning for robotic imitation learning. 2014 IEEE International Conference on Systems, Man, and Cybernetics (SMC)"
2014,"An Estimation-of-Distribution Algorithm Approach to Redundancy Allocation Problem for a High-Security System. IEEJ Journal of Industry Applications, 3(4), 358–367"
2014,A Probabilistic Evolutionary Optimization Approach to Compute Quasiparticle Braids
2014,"Simulation optimization for a flexible jobshop scheduling problem using an estimation of distribution algorithm. The International Journal of Advanced Manufacturing Technology, 73(1-4), 3–21"
2014,A cloud computing resource scheduling scheme based on estimation of distribution algorithm. The 2014 2nd International Conference on Systems and Informatics (ICSAI 2014)
2014,Understanding the Treatment of Outliers in Multi-Objective Estimation of Distribution Algorithms
2014,Chaos elitism estimation of distribution algorithm. Fifth International Conference on Intelligent Control and Information Processing
2014,"Repairing normal EDAs with selective repopulation. Applied Mathematics and Computation, 230, 65–77"
2014,"Parameter Optimization Algorithms for Evolving Rule Models Applied to Freshwater Ecosystems. IEEE Transactions on Evolutionary Computation, 18(6), 793–806"
2014,A Probability Model based Evolutionary Algorithm with Priori and Posteriori Knowledge for Multiobjective Knapsack Problems
2014,HMOEDA LLE  A hybrid multi-objective estimation of distribution algorithm combining locally linear embedding. 2014 IEEE Congress on Evolutionary Computation (CEC)
2014,"Multiobjective Memetic Estimation of Distribution Algorithm Based on an Incremental Tournament Local Searcher. The Scientific World Journal, 2014, 1–21"
2014,Nonconvex Functions Optimization Using an Estimation of Distribution Algorithm Based on a Multivariate Extension of the Clayton Copula
2014,"An exploratory research of elitist probability schema and its applications in evolutionary algorithms. Applied Intelligence, 40(4), 695–709"
2014,"A new real-coded Bayesian optimization algorithm based on a team of learning automata for continuous optimization. Genetic Programming and Evolvable Machines, 15(2), 169–193"
2014,An Improved Ant Colony Algorithm Based on Distribution Estimation. 2014 Fifth International Conference on Intelligent Systems Design and Engineering Applications
2014,Multivariate Cauchy EDA Optimisation
2014,Multi-objective optimal temperature control for Organic Rankine Cycle systems. Proceeding of the 11th World Congress on Intelligent Control and Automation
2014,"Team of Bayesian optimization algorithms to solve task assignment problems in heterogeneous computing systems. 2014 IEEE International Conference on Systems, Man, and Cybernetics (SMC)"
2015,Scale adaptive reproduction operator for decomposition based estimation of distribution algorithm. 2015 IEEE Congress on Evolutionary Computation (CEC)
2015,An improved EDA for solving Steiner tree problem
2015,Adaptive Memetic Computing for Evolutionary Multiobjective Optimization
2015,A continuous estimation of distribution algorithm for the online order-batching problem
2015,"Optimization by Pairwise Linkage Detection, Incremental Linkage Set, and Restricted   Back Mixing. Proceedings of the 2015 on Genetic and Evolutionary Computation Conference - GECCO  ’15"
2015,A hybrid estimation of distribution algorithm for simulation-based scheduling in a stochastic permutation flowshop
2015,An estimation of distribution algorithm and new computational results for the stochastic resource-co
2015,A modified Alopex-based evolutionary algorithm and its application on parameter estimation
2015,Pilot Pattern Optimization for Sparse Channel Estimation in OFDM Systems
2015,A hybrid multi-objective PSO-EDA algorithm for reservoir flood control operation
2015,Applying an Extension of Estimation of Distribution Algorithm (EDA) for Mobile Robots to Learn Motion Patterns from Demonstration
2015,A hybrid estimation of distribution algorithm for the semiconductor final testing scheduling problem
2015,"A Boltzmann-Based Estimation of Distribution Algorithm for a General Resource Scheduling Model. IEEE Transactions on Evolutionary Computation, 19(6), 793–806"
2015,A hybrid evolutionary algorithm with guided mutation for minimum weight dominating set
2015,"Interval-based ranking in noisy evolutionary multi-objective optimization. Computational Optimization and Applications, 61(2), 517–555"
2015,Research on Gain Scheduling Controller of the Networked Control System with Long Delay
2015,Improving Estimation of Distribution Algorithm on Multimodal Problems by Detecting Promising Areas
2015,Continuous probabilistic model building genetic network programming using reinforcement learning
2015,Efficient Multiple Lines Outage Detection in SmartGrid
2015,Design optimization of a cable-based parallel tracking system by using evolutionary algorithms
2015,"A research overview of manifold-learning-based multiobjective evolutionary algorithm. International Journal of Computing Science and Mathematics, 6(3), 287"
2015,An improved multiobjective estimation of distribution algorithm for environmental economic dispatch of hydrothermal power systems
2015,Reconfiguration of satellite orbit for cooperative observation using variable-size multi-objective differential evolution
2015,A New Evolutionary Algorithm with Structure Mutation for the Maximum Balanced Biclique Problem
2015,Solving Multi-Objective Semiconductor Assembly and Test Manufacturing Scheduling Problem Based on Estimation of Distribution Algorithm
2015,Simplified Runtime Analysis of Estimation of Distribution Algorithms
2015,A bi-population EDA for solving the no-idle permutation flow-shop scheduling problem with the total tardiness criterion
2015,Comprehensive characterization of the behaviors of estimation of distribution algorithms
2015,MBMEDA An Application of Estimation of Distribution Algorithms to the Problem of Finding Biological 
2015,"Designing the Boltzmann Estimation of Multivariate Normal Distribution issues, goals and solutions"
2015,Novel Absorber Based on Pixelated Frequency Selective Surface Using Estimation of Distribution Algor
2015,"Solving the 0–1 Quadratic Knapsack Problem with a competitive Quantum Inspired Evolutionary Algorithm. Journal of Computational and Applied Mathematics, 285, 86–99"
2015,"Estimation of distribution algorithm with scatter search for dynamic optimisation problems. International Journal of Computing Science and Mathematics, 6(3), 221"
2015,Reduction of carbon emissions and project makespan by a Pareto-based estimation of distribution algorithm
2015,"Double-Objective Optimal Control for Non-Gaussian Systems  An Example Study on Analytical vs Numerical Solutions. IFAC-PapersOnLine, 48(8), 924–929"
2015,Archimedean copula estimation of distribution algorithm based on artificial bee colony algorithm
2015,Transmission Expansion Planning Based on Hybrid EDADE Algorithm Considering Wind Power Penetration
2015,Unsupervised Dynamic Fuzzy Cognitive Map
2015,Understanding the Treatment of Outliers in Multi-Objective Estimation of Distribution Algorithms
2015,An Estimation of Distribution Algorithm based on the Natural Gradient and the Boltzmann Distribution. Proceedings of the 2015 on Genetic and Evolutionary Computation Conference - GECCO  ’15
2015,Design of Passive Analog Electronic Circuits using Hybrid Modified UMDA Algorithm
2015,An Estimation of Distribution Algorithm With Cheap and Expensive Local Search Methods
2015,Clustering Molecular Dynamics trajectories with a univariate estimation of distribution algorithm. 2015 IEEE Congress on Evolutionary Computation (CEC)
2015,"Composite Particle Swarm Optimizer With Historical Memory for Function Optimization. IEEE Transactions on Cybernetics, 45(10), 2350–2363"
2015,Equality constraint-handling technique with various mapping points  The case of portfolio replication problem. 2015 IEEE Congress on Evolutionary Computation (CEC)
2015,Non-integrated algorithm based on EDA and Tabu Search for test task scheduling problem. 2015 IEEE AUTOTESTCON
2016,"Sequence searching and evaluation  a unified approach for aircraft arrival sequencing and scheduling problems. Memetic Computing, 8(2), 109–123"
2016,REMEDA- Random Embedding EDA for Optimising Functions with Intrinsic Dimension
2016,"Fast Solutions Enhancing using a Copula-based EDA and SVM for many-objective problems. IFAC-PapersOnLine, 49(12), 781–786"
2016,An Augmented Estimation of Distribution Algorithm for Multi-Carpooling Problem with Time Window. 2016 IEEE 83rd Vehicular Technology Conference (VTC Spring)
2016,Large-Scale Global Optimization Using a Binary Genetic Algorithm with EDA-Based Decomposition
2016,MARLEDA Effective distribution estimation through Markov random fields
2016,"Development of a time-dependent economic method with start time consideration to optimise gas-lift allocation and scheduling. International Journal of Oil, Gas and Coal Technology, 13(1), 41"
2016,Evolutionary Approaches to Optimization Problems in Chimera Topologies. Proceedings of the 2016 on Genetic and Evolutionary Computation Conference - GECCO  ’16
2016,"Estimation of distribution algorithm enhanced particle swarm optimization for water distribution network optimization. Frontiers of Environmental Science & Engineering, 10(2), 341–351"
2016,"Performance of Estimation of distribution algorithm for initial core loading optimization of AHWR-LEU. Annals of Nuclear Energy, 96, 230–241"
2016,EDAs cannot be Balanced and Stable. Proceedings of the 2016 on Genetic and Evolutionary Computation Conference - GECCO  ’16
2016,Benchmarking RM-MEDA on the Bi-objective BBOB-2016 Test Suite. Proceedings of the 2016 on Genetic and Evolutionary Computation Conference Companion - GECCO  ’16 Companion
2016,"Evaluation of Estimation of Distribution Algorithm to Calibrate Computationally Intensive Hydrologic Model. Journal of Hydrologic Engineering, 21(6), 04016012"
2016,Enhance Continuous Estimation of Distribution Algorithm by Variance Enlargement and Reflecting Sampling
2016,EDA-based Decomposition Approach for Binary LSGO Problems
2016,An Estimation of Distribution Algorithm-Based Memetic Algorithm for the Distributed Assembly Permutation Flow-Shop Scheduling Problem
2016,An effective estimation of distribution algorithm for solving uniform parallel machine scheduling problem with precedence constraints. 2016 IEEE Congress on Evolutionary Computation (CEC)
2016,Ant Colony Optimization Beats Resampling on Noisy Functions. Proceedings of the 2016 on Genetic and Evolutionary Computation Conference Companion - GECCO  ’16 Companion
2016,"Structure-control design of a mechatronic system with parallelogram mechanism using an estimation of distribution algorithm. Mechanics Based Design of Structures and Machines, 44(1-2), 58–71"
2016,A Solution to Economic Dispatch Problem Using Heuristic based Optimisation Under Pool Market with Elastic Demand and Efficient Generation
2016,"Quantitative optimization of interoperability during feature-based data exchange. Integrated Computer-Aided Engineering, 23(1), 31–50"
2016,"Minimizing makespan in a no-wait flowshop with two batch processing machines using estimation of distribution algorithm. International Journal of Production Research, 54(16), 4919–4937"
2016,A review of message passing algorithms in estimation of distribution algorithms
2016,"A hybrid heuristic for dominating tree problem. Soft Computing, 20(1), 377–397"
2016,MICPSO  A method for incorporating dependencies into discrete particle swarm optimization. 2016 IEEE Symposium Series on Computational Intelligence (SSCI)
2016,"Estimation of Distribution Algorithm with Local Sampling Strategy for Community Detection in Complex Networks. Journal of the Physical Society of Japan, 85(12), 124005"
2016,Concurrent design optimization of the Delta manipulator. 2016 IEEE Latin American Conference on Computational Intelligence (LA-CCI)
2016,Estimation of Distribution Algorithm for Energy-Efficient Scheduling in Turning Processes
2016,A hybrid estimation of distribution algorithm for distributed permutation flowshop scheduling with flowline eligibility. 2016 IEEE Congress on Evolutionary Computation (CEC)
2016,Camera self-calibration from tracking of moving persons. 2016 23rd International Conference on Pattern Recognition (ICPR)
2016,BPGA-EDA for the multi-mode resource constrained project scheduling problem. 2016 IEEE Congress on Evolutionary Computation (CEC)
2016,RK-EDA- A Novel Random Key Based Estimation of Distribution Algorithm
2016,A hybrid differential evolution and estimation of distribution algorithm based on neighbourhood search for job shop scheduling problems
2016,Probability model to Solve the School Bus Routing Problem with Stops Selection
2016,Multi-objective Estimation of Distribution Algorithm based on Voronoi and local search. 2016 6th International Conference on Computer and Knowledge Engineering (ICCKE)
2016,"User Adapted Motor-Imaginary Brain-Computer Interface by means of EEG Channel Selection Based on Estimation of Distributed Algorithms. Mathematical Problems in Engineering, 2016, 1–12"
2016,Finding Interactions or Relationships Between Customer Orders for Building Better Batches by Means of an Estimation of Distribution Algorithm-based approach for the Online Order Batching Problem
2016,"Immune algorithm combined with estimation of distribution for traveling salesman problem. IEEJ Transactions on Electrical and Electronic Engineering, 11, S142–S154"
2016,"A multi-cycled sequential memetic computing approach for constrained optimisation. Information Sciences, 340-341, 175–190"
2016,Path planning of aircraft based on adaptive multiobjective estimation of distribution algorithm. 2016 IEEE Symposium Series on Computational Intelligence (SSCI)
2016,"A Hybrid Territory Defined evolutionary algorithm approach for closed loop green supply chain network design. Computers & Industrial Engineering, 99, 432–447"
2016,A hybrid estimation of distribution algorithm with differential evolution for global optimization. 2016 IEEE Symposium Series on Computational Intelligence (SSCI)
2016,A novel Multi-objective Optimization-based Image Registration Method. Proceedings of the 2016 on Genetic and Evolutionary Computation Conference - GECCO  ’16
2016,An effective DE-EDA for permutation flow-shop scheduling problem. 2016 IEEE Congress on Evolutionary Computation (CEC)
2016,Expanding from Discrete Cartesian to Permutation Gene-pool Optimal Mixing Evolutionary Algorithms. Proceedings of the 2016 on Genetic and Evolutionary Computation Conference - GECCO  ’16
2016,"Estimation of the Distribution Algorithm With a Stochastic Local Search for Uncertain Capacitated Arc Routing Problems. IEEE Transactions on Evolutionary Computation, 20(1), 96–109"
2016,"Data imputation for gas flow data in steel industry based on non-equal-length granules correlation coefficient. Information Sciences, 367-368, 311–323"
2016,An Operation Optimization Method Based on Improved EDA for BOF End-point Control
2016,On the model updating operators in univariate estimation of distribution algorithms
2016,"Recursion-Based Biases in Stochastic Grammar Model Genetic Programming. IEEE Transactions on Evolutionary Computation, 20(1), 81–95"
2016,A Hybrid Estimation of Distribution Algorithm for Unrelated Parallel Machine Scheduling with Sequence-Dependent Setup Times
2016,"MONEDA  scalable multi-objective optimization with a neural network-based estimation of distribution algorithm. Journal of Global Optimization, 66(4), 729–768"
2016,"An Integrated Method Based on PSO and EDA for the Max-Cut Problem. Computational Intelligence and Neuroscience, 2016, 1–13"
2016,"Evolutionary algorithms and elliptical copulas applied to continuous optimization problems. Information Sciences, 369, 419–440"
2016,"C-Multi  A competent multi-swarm approach for many-objective problems. Neurocomputing, 180, 68–78"
2016,SMS-EDA-MEC Extending Copula-based EDAs to Multi-Objective Optimization
2016,Sampling in Latent Space for a Mulitiobjective Estimation of Distribution Algorithm
2016,HMOBEDA- Hybrid Multi-objective Bayesian Estimation of Distribution Algorithm
2016,Design and optimization of HIDiC columns using a constrained Boltzmann-based estimation of distribution algorithm-evaluating the effect of relative volatility
2016,Simulation optimization for the vehicle routing problem with time windows using a Bayesian network as a probability model
2016,"Classifier Subset Selection for the Stacked Generalization Method Applied to Emotion Recognition in Speech. Sensors, 16(1), 21"
2016,"The use of explicit building blocks in evolutionary computation. International Journal of Systems Science, 47(3), 691–706"
2016,An Estimation of Distribution Algorithm Guided by Mean Shift
2016,A fuzzy logic-based hybrid estimation of distribution algorithm for distributed permutation flowshop scheduling problems under machine breakdown
2016,"CFO  A new compact swarm intelligent algorithm for global optimization and optimal bipedal robots walking. 2016 8th International Conference on Modelling, Identification and Control (ICMIC)"
2017,Probabilistic Analysis of Pareto Front Approximation for a Hybrid Multi-objective Bayesian Estimation of Distribution Algorithm. 2017 Brazilian Conference on Intelligent Systems (BRACIS)
2017,"A novel hybrid estimation of distribution algorithm for solving hybrid flowshop scheduling problem with unrelated parallel machine. Journal of Central South University, 24(8), 1779–1788"
2017,Estimation of Distribution with Restricted Boltzmann Machine for Adaptive Service Composition. 2017 IEEE International Conference on Web Services (ICWS)
2017,"Uncertain resource leveling problem. Journal of Intelligent & Fuzzy Systems, 33(4), 2351–2361"
2017,Non-Gaussian system identification based on improved estimation of distribution algorithm. 2017 36th Chinese Control Conference (CCC)
2017,Design and optimization of heat-integrated distillation configurations with variable feed composition by using a Boltzmann-based estimation of distribution algorithm as optimizer
2017,Fast reliability evaluation method for composite power system based on the improved EDA and double cross linked list
2017,"Effective multiobjective EDA for bi-criteria stochastic job-shop scheduling problem. Journal of Intelligent Manufacturing, 28(3), 833–845"
2017,Multiobjective decomposition-based Mallows Models estimation of distribution algorithm. A case of study for permutation flowshop scheduling problem
2017,"Reference line-based Estimation of Distribution Algorithm for many-objective optimization. Knowledge-Based Systems, 132, 129–143"
2017,An Adaptive Sampling-Estimation of Distribution Algorithm for Robust Scheduling in the Steelmaking-Continuous Casting Process
2017,Estimation of Distribution Algorithms for the Firefighter Problem
2017,Motion generation of multi-legged robot in complex terrains by using estimation of distribution algorithm. 2017 IEEE Symposium Series on Computational Intelligence (SSCI)
2017,An estimation of distribution algorithm coupled with the generalized Mallows distribution for a school bus routing problem with bus stop selection
2018,Independent tasks scheduling in cloud computing via improved estimation of distribution algorithm
2018,Towards Fully Automated Semantic Web Service Composition Based on Estimation of Distribution Algorithm
2018,"Hybrid multi-objective Bayesian estimation of distribution algorithm  a comparative analysis for the multi-objective knapsack problem. Journal of Heuristics, 24(1), 25–47"
2018,"A multi-model estimation of distribution algorithm for energy efficient scheduling under cloud computing system. Journal of Parallel and Distributed Computing, 117, 63–72"
2018,Distance-Based Exponential Probability Models for Constrained Combinatorial Problems
2018,A meta-heuristic for topology optimization using probabilistic learning. Applied Intelligence
2018,Knowledge-Driven Automated Web Service Composition—An EDA-Based Approach
2018,An analysis of the bias of variation operators of estimation of distribution programming. Proceedings of the Genetic and Evolutionary Computation Conference on   - GECCO  ’18
2018,"A hybrid differential evolution algorithm with estimation of distribution algorithm for reentrant hybrid flow shop scheduling problem. Neural Computing and Applications, 30(1), 193–209"
2018,"An Improved Discrete Migrating Birds Optimization for Lot-Streaming Flow Shop Scheduling Problem with Blocking. Lecture Notes in Computer Science, 780–791"
2018,Improved Alopex-based evolutionary algorithm by Gaussian copula estimation of distribution algorithm and its application to the Butterworth filter design_
2018,Improving estimation of distribution algorithms with heavy-tailed student’s t distributions. 2018 Tenth International Conference on Advanced Computational Intelligence (ICACI)
2018,"Model-Based Position and Reflectivity Estimation of Fiber Bragg Grating Sensor Arrays. Sensors, 18(7), 2268"
2018,"An estimation of distribution algorithm for scheduling problem of flexible manufacturing systems using Petri nets. Applied Mathematical Modelling, 55, 776–788"
2018,"Modelling and solving a cost-oriented resource-constrained multi-model assembly line balancing problem. International Journal of Production Research, 56(11), 3994–4016"
